,X,isocode,country,Confirmed,Deaths,tests,MaxStringencyIndex,MeanStringencyIndex,MaxFacialCoverings,MeanFacialCoverings,MaxStayHome,MeanStayHome,totalvacci0tions,totalbooster,fullyvacnumber,logofConfirmed,logofDeaths,logofTests,logofTotalVaccines,logofTotalBoosters,logofFullyVacci0ted
111,110,MDA,Moldova,366256,9217,76938074,73.15,50.43948795,4,2.91503268,3,1.082568807,1644452,0,944930,12.81108782,9.128804884,18.15851142,14.31291776,0,13.75886613
112,111,MCO,Mo0co,3885,36,0,62.96,46.97949843,4,2.576802508,2,0.996865204,49980,0,23308,8.264878263,3.583518938,0,10.8193782,0,10.05655193
113,112,MNG,Mongolia,383682,2017,639244624,96.3,60.9573494,4,3.688073394,2,1.327217125,4414941,0,2153408,12.85756936,7.609366538,20.27579776,15.30050503,0,14.58256226
114,113,MAR,Morocco,950591,14788,2136598273,86.11,70.62370482,3,3,2,1.932721713,48851348,0,22764566,13.76483918,9.60157132,21.48248081,17.70429253,0,16.94071576
115,114,MOZ,Mozambique,151924,1941,164005123,65.74,53.2497006,4,3.064220183,3,2.201834862,10503956,0,3931200,11.93113567,7.570958583,18.91540822,16.16726251,0,15.18445528
116,115,MMR,Myanmar,0,0,674068725,90.74,72.76945946,4,3.993883792,3,2.091743119,28100411,0,11615096,0,0,20.32884263,17.15129476,0,16.26781619
117,116,0M,0mibia,129796,3574,152524876,87.04,47.23408408,4,2.935779817,2,1.721712538,674589,0,307891,11.77371927,8.181440696,18.84283826,13.4218589,0,12.6375011
118,117,NPL,Nepal,822592,11541,1029509594,97.22,57.75471471,4,3.975535168,3,0.957186544,18317508,0,8437860,13.62021561,9.353661191,20.7523484,16.72336788,0,15.94823928
119,118,NLD,Netherlands,2793527,20118,497727398,82.41,59.04075758,3,2.033639144,2,0.828746177,24693092,0,0,14.84281551,9.909370216,20.02556309,17.02203409,0,0
120,119,NZL,New Zealand,12333,44,645825434,96.3,42.4793865,3,2.27607362,2,0.601226994,7736783,121522,3688689,9.420033876,3.784189634,20.2860398,15.86149653,11.7078506,15.12078167
121,120,NIC,Nicaragua,17254,213,0,13.89,7.124465409,2,1.201257862,0,0,6376188,0,2322298,9.75579928,5.361292166,0,15.66808098,0,14.65806777
122,121,NER,Niger,7080,261,0,34.26,25.67765766,3,2.785932722,0,0,971636,0,464413,8.865029187,5.564520407,0,13.78673653,0,13.04852952
123,122,NGA,Nigeria,214622,2980,128449920,58.33,50.19375375,4,3.067278287,2,1.853211009,10119982,0,3595400,12.27663362,7.999678579,18.67104966,16.13002244,0,15.09516581
124,123,NOR,Norway,284448,1093,1938599610,73.15,51.06172727,2,1.675840979,1,0.816513761,8799704,703289,3850609,12.55830574,6.996681488,21.3852317,15.99022864,13.46352318,15.16374188
125,124,OMN,Oman,304603,4113,0,84.26,57.60636923,4,2.943396226,2,1.179012346,5934585,0,2828176,12.62676457,8.321907968,0,15.59630766,0,14.85514254
