,isocode,country,Confirmed,Deaths,tests,MaxStringencyIndex,MeanStringencyIndex,MaxFacialCoverings,MeanFacialCoverings,MaxStayHome,MeanStayHome,totalvaccinations,totalbooster,fullyvacnumber
81,ISR,Israel,1345915.0,8204.0,6413767795.0,87.04,54.9082882882883,3.0,2.31192660550459,2.0,0.244648318042813,16254505.0,4100290.0,5782188.0
82,ITA,Italy,5109082.0,134195.0,22819214855.0,83.33,69.7143333333333,4.0,3.3486238532110093,2.0,1.9021406727828702,98729849.0,8682311.0,44154825.0
83,JAM,Jamaica,91469.0,2410.0,85439727.0,86.11,73.0741741741742,4.0,3.10703363914373,3.0,2.14373088685015,1135059.0,0.0,523049.0
84,JPN,Japan,1727229.0,18360.0,5094600901.0,55.09,49.0042642642643,1.0,1.0,1.0,1.0,197620701.0,0.0,97685248.0
85,JOR,Jordan,975956.0,11761.0,1497659911.0,81.48,53.0727914110429,3.0,2.4018404907975497,2.0,1.4907975460122702,7950684.0,0.0,3776263.0
86,KAZ,Kazakhstan,1058758.0,17895.0,1333645988.0,79.17,65.6731736526946,4.0,3.0886850152905203,2.0,0.7461773700305809,16955745.0,0.0,8176988.0
87,KEN,Kenya,255437.0,5335.0,24131061.0,74.07,58.3448615384615,4.0,3.53538461538462,2.0,1.8338461538461501,7583134.0,0.0,2954835.0
88,KIR,Kiribati,2.0,0.0,0.0,56.94,27.7250306748466,3.0,0.368098159509202,2.0,0.613496932515337,82167.0,0.0,22675.0
89,OWID_KOS,Kosovo,,,100295901.0,75.93,49.5058787878788,4.0,3.2477064220183505,2.0,1.24159021406728,1624584.0,0.0,765669.0
90,KWT,Kuwait,413491.0,2465.0,983138186.0,77.78,58.2639759036145,4.0,3.07033639143731,2.0,0.614678899082569,6578646.0,108687.0,3165385.0
91,KGZ,Kyrgyzstan,183615.0,2758.0,0.0,58.33,49.42153374233129,3.0,2.5398773006135,1.0,0.009202453987730059,2056269.0,0.0,914026.0
92,LAO,Laos,,,30429426.0,86.11,51.9187687687688,4.0,3.44036697247706,2.0,1.07645259938838,5830021.0,0.0,3099003.0
93,LVA,Latvia,257329.0,4267.0,951880234.0,70.37,51.0765950920245,3.0,2.68098159509202,2.0,0.17177914110429401,2220155.0,0.0,1207491.0
94,LBN,Lebanon,678801.0,8775.0,112679216.0,92.59,68.5708734939759,4.0,2.8226299694189603,3.0,1.8960244648318,3660210.0,0.0,1710771.0
95,LSO,Lesotho,21838.0,663.0,0.0,85.19,57.26279874213839,4.0,3.50783699059561,2.0,1.9373040752351103,617671.0,0.0,572287.0
96,LBR,Liberia,5824.0,287.0,0.0,55.56,43.977987987988,4.0,3.1100917431192703,1.0,0.20489296636085602,589628.0,0.0,456623.0
97,LBY,Libya,374989.0,5493.0,0.0,87.96,64.7761458333333,3.0,2.80555555555556,2.0,1.1913580246913602,2377003.0,0.0,666531.0
98,LIE,Liechtenstein,4893.0,62.0,16191005.0,56.48,44.50927710843371,3.0,2.2140672782874598,1.0,1.0,51795.0,1677.0,25165.0
99,LTU,Lithuania,479839.0,6847.0,1239234913.0,74.07,46.685417956656295,3.0,2.16975308641975,2.0,0.6811145510835911,3770993.0,356740.0,1790996.0
100,LUX,Luxembourg,90774.0,880.0,957891376.0,67.59,46.1748648648649,3.0,2.00917431192661,2.0,1.1162079510703402,0.0,0.0,429705.0
101,MAC,Macao,,,0.0,62.04,29.729024390243897,2.0,2.0,0.0,0.0,930802.0,0.0,442605.0
102,MDG,Madagascar,44800.0,972.0,30420998.0,81.48,49.8977917981073,4.0,3.45741324921136,2.0,1.3564668769716102,685440.0,0.0,484570.0
103,MWI,Malawi,61981.0,2307.0,8622726.0,52.78,42.5546012269939,3.0,2.4202453987730097,2.0,0.414110429447853,1476957.0,0.0,617998.0
104,MYS,Malaysia,2658772.0,30614.0,6203002854.0,85.19,70.1256626506024,3.0,3.0,2.0,1.6452599388379199,53875223.0,2798233.0,25420679.0
105,MLI,Mali,17915.0,618.0,0.0,51.85,44.3155555555556,3.0,3.0,1.0,0.4250764525993879,847067.0,0.0,320681.0
106,MLT,Malta,39934.0,468.0,327974281.0,75.0,52.6006306306306,4.0,3.55351681957187,0.0,0.0,971433.0,132189.0,432844.0
107,MRT,Mauritania,39558.0,840.0,2715696.0,59.26,42.7884384384384,3.0,3.0,2.0,1.56880733944954,1759659.0,0.0,684075.0
108,MUS,Mauritius,22090.0,240.0,0.0,97.22,53.9443251533742,4.0,3.21165644171779,3.0,0.699386503067485,1875132.0,0.0,914936.0
109,MEX,Mexico,3901263.0,295203.0,2481914421.0,71.76,49.92079027355621,4.0,4.0,2.0,1.3119266055045902,134370326.0,0.0,65422436.0
110,MDA,Moldova,366256.0,9217.0,76938074.0,73.15,50.4394879518072,4.0,2.91503267973856,3.0,1.08256880733945,1644452.0,0.0,944930.0
111,MCO,Monaco,3885.0,36.0,0.0,62.96,46.9794984326019,4.0,2.5768025078369905,2.0,0.996865203761755,49980.0,0.0,23308.0
112,MNG,Mongolia,383682.0,2017.0,639244624.0,96.3,60.9573493975904,4.0,3.6880733944954103,2.0,1.32721712538226,4414941.0,0.0,2153408.0
113,MAR,Morocco,950591.0,14788.0,2136598273.0,86.11,70.6237048192771,3.0,3.0,2.0,1.93272171253823,48851348.0,0.0,22764566.0
114,MOZ,Mozambique,151924.0,1941.0,164005123.0,65.74,53.24970059880239,4.0,3.0642201834862406,3.0,2.20183486238532,10503956.0,0.0,3931200.0
115,MMR,Myanmar,,,674068725.0,90.74,72.7694594594595,4.0,3.99388379204893,3.0,2.09174311926605,28100411.0,0.0,11615096.0
116,NAM,Namibia,129796.0,3574.0,152524876.0,87.04,47.2340840840841,4.0,2.9357798165137594,2.0,1.7217125382263,674589.0,0.0,307891.0
117,NPL,Nepal,822592.0,11541.0,1029509594.0,97.22,57.7547147147147,4.0,3.9755351681957203,3.0,0.9571865443425078,18317508.0,0.0,8437860.0
118,NLD,Netherlands,2793527.0,20118.0,497727398.0,82.41,59.040757575757596,3.0,2.03363914373089,2.0,0.8287461773700309,24693092.0,0.0,0.0
119,NZL,New Zealand,12333.0,44.0,645825434.0,96.3,42.479386503067495,3.0,2.2760736196319,2.0,0.601226993865031,7736783.0,121522.0,3688689.0
120,NIC,Nicaragua,17254.0,213.0,0.0,13.89,7.1244654088050305,2.0,1.2012578616352199,0.0,0.0,6376188.0,0.0,2322298.0
121,NER,Niger,,,0.0,34.26,25.6776576576577,3.0,2.78593272171254,0.0,0.0,971636.0,0.0,464413.0
122,NGA,Nigeria,214622.0,2980.0,128449920.0,58.33,50.193753753753796,4.0,3.0672782874617703,2.0,1.85321100917431,10119982.0,0.0,3595400.0
123,NOR,Norway,284448.0,1093.0,1938599610.0,73.15,51.061727272727296,2.0,1.67584097859327,1.0,0.81651376146789,8799704.0,703289.0,3850609.0
124,OMN,Oman,304603.0,4113.0,0.0,84.26,57.606369230769204,4.0,2.94339622641509,2.0,1.17901234567901,5934585.0,0.0,2828176.0
125,PAK,Pakistan,1287161.0,28777.0,3968706525.0,78.24,57.27072327044029,4.0,3.4088050314465397,3.0,1.87421383647799,126586512.0,0.0,52303524.0
126,PSE,Palestine,,,0.0,92.59,72.9614759036145,4.0,2.7258566978193097,3.0,1.85015290519878,3024477.0,0.0,1365858.0
127,PAN,Panama,479053.0,7374.0,920595190.0,89.81,68.3815197568389,4.0,4.0,3.0,2.26543209876543,5650424.0,201734.0,2437285.0
128,PNG,Papua New Guinea,35538.0,550.0,431741.0,74.07,55.3271771771772,4.0,2.9877675840978597,2.0,1.20489296636086,467166.0,0.0,197800.0
129,PRY,Paraguay,463260.0,16476.0,445876845.0,76.85,48.861424148606794,3.0,2.97741935483871,2.0,1.7358490566037699,6216388.0,117151.0,2703605.0
130,PER,Peru,2243415.0,201379.0,1240502624.0,86.11,72.8913455657492,4.0,3.8509316770186297,3.0,2.2935779816513797,42111301.0,992007.0,18576645.0
131,PHL,Philippines,2834775.0,49386.0,4659585083.0,81.02,70.76035369774921,4.0,3.5048231511254,3.0,2.09967845659164,91777433.0,509944.0,38168603.0
132,POL,Poland,3671421.0,85675.0,5148674189.0,80.56,55.5675304878049,3.0,2.11009174311927,1.0,1.0,42672883.0,3637272.0,20521241.0
133,PRT,Portugal,1166787.0,18537.0,4387155098.0,87.96,63.2883024691358,3.0,2.78703703703704,2.0,1.0462962962963,17862361.0,1530075.0,9005089.0
134,PRI,Puerto Rico,,,,70.37,43.8168,4.0,2.8006329113923996,2.0,0.88,,,
135,QAT,Qatar,244223.0,611.0,602282436.0,85.19,60.500750750750704,4.0,3.46483180428135,2.0,1.15902140672783,5011447.0,0.0,0.0
136,ROU,Romania,1786036.0,57099.0,1039456225.0,76.85,56.6122392638037,4.0,3.57668711656442,2.0,1.14723926380368,15095967.0,0.0,7507203.0
137,RUS,Russia,9630296.0,275824.0,29754878977.0,61.57,44.742546583850896,3.0,2.35714285714286,3.0,0.6987577639751551,130634456.0,4937582.0,58695024.0
138,RWA,Rwanda,100414.0,1343.0,440218734.0,74.07,60.1568580060423,4.0,2.9357798165137594,2.0,1.9633027522935802,9440343.0,0.0,3452598.0
139,SMR,San Marino,6148.0,93.0,0.0,75.93,49.3356441717791,4.0,2.5306748466257702,2.0,1.16564417177914,47834.0,0.0,22379.0
140,SAU,Saudi Arabia,549912.0,8844.0,7092279096.0,57.41,53.9609509202454,3.0,2.8865030674846603,0.0,0.0,47701071.0,0.0,22620922.0
141,SEN,Senegal,74024.0,1886.0,197230696.0,58.8,30.3796696696697,4.0,3.24159021406728,2.0,0.534375,1910830.0,0.0,924182.0
142,SRB,Serbia,1263663.0,11917.0,1456342693.0,61.11,46.075329153605004,3.0,2.66457680250784,1.0,0.7586206896551719,7963609.0,1554127.0,3136806.0
143,SYC,Seychelles,23599.0,127.0,0.0,84.26,70.8426726726727,4.0,2.7571884984025603,2.0,1.71253822629969,179462.0,0.0,77951.0
144,SLE,Sierra Leone,6402.0,121.0,0.0,60.19,43.2492492492492,4.0,3.1651376146788994,2.0,0.8654434250764529,868726.0,0.0,361089.0
145,SGP,Singapore,269211.0,759.0,562440583.0,58.33,50.706346749226,4.0,4.0,1.0,1.0,10083329.0,0.0,5012181.0
146,SVK,Slovakia,1230343.0,14826.0,10774633579.0,74.07,51.1379566563467,4.0,3.14900662251656,2.0,0.8297213622291021,5001505.0,0.0,2349722.0
147,SVN,Slovenia,430064.0,5303.0,428375293.0,85.19,51.0007294832827,4.0,3.03669724770642,2.0,0.8278145695364242,2714211.0,321652.0,1157918.0
148,SLB,Solomon Islands,20.0,0.0,0.0,38.89,30.805783132530102,4.0,1.1620795107033601,0.0,0.0,208046.0,0.0,46525.0
149,SOM,Somalia,23051.0,1331.0,0.0,60.19,31.4003603603604,3.0,2.782874617737,2.0,0.902140672782875,964433.0,0.0,564612.0
150,ZAF,South Africa,3031694.0,89966.0,4329580516.0,75.0,51.9860303030303,4.0,3.02147239263804,2.0,2.0,26348830.0,0.0,14948436.0
151,KOR,South Korea,,,2388892896.0,67.59,52.24153153153149,3.0,3.0,1.0,0.5535168195718649,86476510.0,3956401.0,41341888.0
152,SSD,South Sudan,12804.0,133.0,9594739.0,77.78,45.2488588588589,3.0,2.3394495412844,2.0,0.776758409785933,218154.0,0.0,133315.0
153,ESP,Spain,5202958.0,88159.0,2165574134.0,78.7,57.010462962963,4.0,3.24382716049383,2.0,1.4660493827160501,77157350.0,5499256.0,37655150.0
154,LKA,Sri Lanka,567682.0,14461.0,1232838794.0,90.74,73.9066265060241,4.0,3.42813455657492,3.0,2.03669724770642,29707010.0,0.0,13763844.0
155,SDN,Sudan,43489.0,3164.0,0.0,64.81,27.6472955974843,4.0,2.56603773584906,3.0,0.36163522012578597,1659666.0,0.0,0.0
156,SUR,Suriname,51009.0,1171.0,0.0,92.59,71.3753012048193,4.0,3.99350649350649,2.0,2.0,479697.0,0.0,221199.0
157,SWE,Sweden,1212145.0,15170.0,0.0,69.44,49.8377245508982,2.0,0.8899082568807339,1.0,0.8287461773700309,16097826.0,1131706.0,7179328.0
158,CHE,Switzerland,1044633.0,11591.0,2539016193.0,60.19,51.3710303030303,3.0,2.4587155963302796,1.0,0.53822629969419,12045452.0,642345.0,5716809.0
159,SYR,Syria,48619.0,2777.0,0.0,60.65,40.9004504504504,3.0,2.50306748466258,2.0,0.688073394495413,1422377.0,0.0,739210.0
160,TWN,Taiwan,,,528637839.0,76.85,44.467373417721504,4.0,2.91509433962264,2.0,0.43670886075949394,32471621.0,0.0,14169298.0
161,TJK,Tajikistan,17493.0,125.0,0.0,48.15,32.5613455657492,4.0,3.33986928104575,0.0,0.0,5579193.0,0.0,2555173.0
162,TZA,Tanzania,26270.0,730.0,0.0,38.89,12.608275862068998,2.0,0.699059561128527,1.0,0.0658307210031348,1337045.0,0.0,983801.0
163,THA,Thailand,2145241.0,20966.0,2567368997.0,75.93,56.0898498498498,4.0,3.21100917431193,2.0,1.3700305810397602,93753156.0,3494673.0,41732668.0
164,TLS,Timor,,,4139601.0,87.04,60.2279456193353,4.0,3.44648318042813,3.0,1.67791411042945,1112223.0,0.0,465372.0
165,TGO,Togo,26304.0,243.0,123050638.0,69.44,45.6588714733542,4.0,3.8746081504702206,2.0,0.6363636363636359,1665087.0,0.0,567834.0
166,TON,Tonga,1.0,0.0,0.0,81.02,45.79748466257671,2.0,0.7300613496932521,2.0,1.99386503067485,118185.0,0.0,45002.0
167,TTO,Trinidad and Tobago,75134.0,2262.0,49182668.0,92.59,72.5860383386581,4.0,3.865625,2.0,1.0625,1297311.0,0.0,648391.0
168,TUN,Tunisia,718443.0,25401.0,285396724.0,85.19,60.6275975975976,4.0,3.3547400611620803,2.0,1.6605504587156001,10731223.0,469349.0,5247095.0
169,TUR,Turkey,8903087.0,77830.0,20021608175.0,87.04,61.74751515151521,4.0,4.0,3.0,1.04892966360856,120910438.0,13884811.0,50653666.0
170,TKM,Turkmenistan,,,0.0,73.15,61.778858858858904,4.0,3.14678899082569,2.0,0.254777070063694,7580976.0,0.0,3206282.0
171,UGA,Uganda,127655.0,3254.0,395811835.0,87.04,62.119018404908,4.0,2.94171779141104,2.0,1.93558282208589,4751422.0,0.0,912983.0
172,UKR,Ukraine,3668794.0,93734.0,2794955955.0,76.39,57.4514906832298,4.0,2.6532507739938103,1.0,0.551083591331269,25559141.0,0.0,11826757.0
173,ARE,United Arab Emirates,742328.0,2148.0,17560690811.0,66.2,53.50480480480479,3.0,2.80428134556575,1.0,0.0978593272171254,21548528.0,2914743.0,8832256.0
174,GBR,United Kingdom,10523316.0,146055.0,60171872501.0,87.96,59.771575757575796,3.0,3.0,2.0,0.617737003058104,117880359.0,20258417.0,46527302.0
175,USA,United States,48868916.0,784894.0,153000209986.0,71.76,57.42853211009171,4.0,3.4342507645259905,2.0,1.18960244648318,470297846.0,46219529.0,197440859.0
