,isocode,country,Confirmed,Deaths,tests,MaxStringencyIndex,MeanStringencyIndex,MaxFacialCoverings,MeanFacialCoverings,MaxStayHome,MeanStayHome,totalvaccinations,totalbooster,fullyvaccinated
157,SWE,Sweden,1194636.0,15142.0,0.0,69.44,50.488440366972505,2.0,0.8899082568807339,1.0,0.8287461773700309,0.0,0.0,0.0
158,CHE,Switzerland,970753.0,11435.0,2465185053.0,60.19,51.383608562691094,3.0,2.4587155963302796,1.0,0.53822629969419,11677837.0,337853.0,5686656.0
159,SYR,Syria,47558.0,2719.0,0.0,60.65,40.5380733944954,,,2.0,0.688073394495413,0.0,0.0,0.0
160,TWN,Taiwan,,,493115175.0,76.85,44.467373417721504,4.0,2.91455696202532,2.0,0.43670886075949394,29932419.0,0.0,11823246.0
161,TJK,Tajikistan,17493.0,125.0,0.0,48.15,32.5613455657492,,,0.0,0.0,0.0,0.0,0.0
162,TZA,Tanzania,26261.0,730.0,0.0,38.89,12.608275862068998,2.0,0.699059561128527,1.0,0.0658307210031348,1337045.0,0.0,983801.0
163,THA,Thailand,2081992.0,20544.0,2567368997.0,75.93,56.10819571865439,4.0,3.21100917431193,2.0,1.3700305810397602,89894183.0,3135889.0,39724270.0
164,TLS,Timor,,,4139601.0,87.04,60.505521472392594,4.0,3.4478527607362004,3.0,1.67791411042945,0.0,0.0,0.0
165,TGO,Togo,26219.0,243.0,119014800.0,69.44,45.6588714733542,4.0,3.8746081504702206,2.0,0.6363636363636359,0.0,0.0,0.0
166,TON,Tonga,1.0,0.0,0.0,81.02,45.79748466257671,2.0,0.7300613496932521,2.0,1.99386503067485,0.0,0.0,0.0
167,TTO,Trinidad and Tobago,67664.0,2009.0,49182668.0,92.59,72.5860383386581,4.0,3.86261980830671,2.0,1.04153354632588,1278330.0,0.0,638366.0
168,TUN,Tunisia,716702.0,25356.0,275890902.0,85.19,61.43415902140671,4.0,3.3547400611620803,2.0,1.6605504587156001,10292254.0,343301.0,5029931.0
169,TUR,Turkey,8654142.0,75618.0,19273315672.0,87.04,62.0166666666667,4.0,4.0,3.0,1.04892966360856,119726075.0,13413835.0,50192722.0
170,TKM,Turkmenistan,,,0.0,73.15,61.850581039755404,4.0,3.14678899082569,,,7580976.0,0.0,3206282.0
171,UGA,Uganda,127305.0,3250.0,386071155.0,87.04,62.119018404908,4.0,2.94171779141104,2.0,1.93558282208589,4751422.0,0.0,912983.0
172,UKR,Ukraine,3530969.0,87999.0,2684447793.0,76.39,57.4514906832298,4.0,2.65527950310559,1.0,0.552795031055901,23501133.0,0.0,10438680.0
173,ARE,United Arab Emirates,741643.0,2145.0,17560690811.0,66.2,53.6200305810398,3.0,2.80428134556575,1.0,0.0978593272171254,21548528.0,2914743.0,8832256.0
174,GBR,United Kingdom,10028829.0,144728.0,57888844315.0,87.96,59.8909480122324,3.0,3.0,2.0,0.617737003058104,113467966.0,16383575.0,46232258.0
175,USA,United States,,,150351174555.0,71.76,57.42853211009171,4.0,3.4342507645259905,2.0,1.18960244648318,459931158.0,40264184.0,195424211.0
176,VIR,United States Virgin Islands,,,,49.07,41.4164406779661,3.0,3.0,2.0,0.6610169491525419,,,
177,URY,Uruguay,398436.0,6119.0,772580042.0,87.04,61.3384709480122,2.0,2.0,1.0,0.8868501529051991,6766558.0,1364138.0,2653424.0
178,UZB,Uzbekistan,191956.0,1385.0,0.0,71.3,45.1496024464832,3.0,2.94495412844037,1.0,0.0948012232415902,0.0,0.0,0.0
179,VUT,Vanuatu,6.0,1.0,0.0,22.22,21.4982262996942,1.0,0.0886850152905199,0.0,0.0,129582.0,0.0,40110.0
180,VEN,Venezuela,426799.0,5097.0,0.0,97.22,82.5254434250764,4.0,4.0,3.0,1.9938837920489298,0.0,0.0,0.0
181,VNM,Vietnam,1155778.0,24243.0,1518364936.0,79.17,68.84753846153849,3.0,3.0,2.0,1.6830769230769198,114591610.0,0.0,46100701.0
